	SRR1039508	SRR1039509	SRR1039512	SRR1039513	SRR1039516	SRR1039517	SRR1039520	SRR1039521
ENSG00000000003	723	486	904	445	1170	1097	806	604
ENSG00000000005	0	0	0	0	0	0	0	0
ENSG00000000419	467	523	616	371	582	781	417	509
ENSG00000000457	347	258	364	237	318	447	330	324
ENSG00000000460	96	81	73	66	118	94	102	74
ENSG00000000938	0	0	1	0	2	0	0	0
ENSG00000000971	3413	3916	6.00E+03	4308	6424	10723	5039	7803
ENSG00000001036	2328	1714	2640	1381	2165	2262	2175	1786
ENSG00000001084	670	372	692	448	917	807	744	685
ENSG00000001167	426	295	531	178	740	651	414	269
ENSG00000001460	191	182	287	137	256	234	173	189
ENSG00000001461	2232	1969	5252	2698	2699	2932	2495	3206
ENSG00000001497	556	513	619	355	666	770	517	440
ENSG00000001561	74	53	212	160	22	37	134	177
ENSG00000001617	560	372	934	436	706	725	581	641
ENSG00000001626	16	9	14	8	8	7	7	8
ENSG00000001629	1491	1204	2438	1041	2838	2727	1817	1747
ENSG00000001630	1014	807	1135	689	1374	1324	947	763
ENSG00000001631	694	725	1052	475	1137	1249	861	855
ENSG00000002016	256	202	263	109	308	271	178	112
ENSG00000002079	1	0	7	7	1	0	0	6
ENSG00000002330	760	653	796	431	769	956	615	674
ENSG00000002549	1460	1274	1280	980	1428	1770	829	1003
ENSG00000002586	7314	7067	9639	6221	11373	12979	6885	7559
ENSG00000002587	2	3	1	1	1	4	3	1
ENSG00000002726	1	0	4	2	0	1	0	4
ENSG00000002745	5	5	28	9	2	2	4	3
ENSG00000002746	172	160	104	86	130	115	94	143
ENSG00000002822	391	306	415	185	424	569	311	332
ENSG00000002834	7577	7641	9125	7305	7858	14203	6996	9324
ENSG00000002919	230	225	273	207	247	350	200	301
ENSG00000002933	1296	1542	594	433	36	28	69	107
ENSG00000003056	1954	1665	1960	1309	2096	2339	1839	1763
ENSG00000003096	644	330	590	178	555	308	536	257
ENSG00000003137	140	55	235	75	31	39	191	76
ENSG00000003147	9	4	9	8	8	16	10	12
ENSG00000003249	85	73	221	84	107	116	173	131
ENSG00000003393	900	728	875	514	979	1595	846	747
ENSG00000003400	101	71	121	104	97	67	109	74
ENSG00000003402	2065	3648	2340	2991	2828	6903	1744	4908
ENSG00000003436	4665	4109	6899	3253	9138	6350	3913	3778
ENSG00000003509	306	249	379	203	410	406	258	285
ENSG00000003756	3095	2413	3940	1763	3701	3895	2801	2827
ENSG00000003987	25	28	34	35	23	50	15	32
ENSG00000003989	61	51	13	3	44	104	17	51
ENSG00000004059	1589	1893	1519	1136	1747	2545	1396	1896
ENSG00000004139	311	354	326	168	370	342	357	310
ENSG00000004142	1501	1570	1618	981	1746	2298	1129	1261
ENSG00000004399	4107	4116	3858	2064	5515	5631	2670	2561
ENSG00000004455	1349	1098	1549	733	1568	2126	1040	903
